time,loss,left,right,up,down,highest_reward,average_reward,steps,games,step_per_games
0,-0.99999505,1082,909,1233,805,1.8000002,-0.7719512,4029,1445,2
1,-0.9946738,1196,1338,513,976,1.6000001,-0.7700192,4023,1281,3
2,-0.9533898,1045,1128,361,1491,2.0,-0.75450724,4025,1149,3
3,-0.86433464,1085,1024,203,1724,2.7,-0.7323071,4036,1067,3
4,-0.7996082,977,959,66,2036,1.5000001,-0.7529204,4038,1033,3
5,-0.7427324,942,828,47,2217,1.5000001,-0.74241245,4034,1024,3
6,-0.67089057,797,832,16,2391,1.4000001,-0.75230306,4036,1008,4
7,-0.6637967,923,780,12,2310,1.4000001,-0.7397006,4025,991,4
8,-0.68715876,1053,902,11,2069,1.3000001,-0.7364796,4035,953,4
9,-0.70709586,1269,1101,6,1669,1.5000001,-0.71824324,4045,939,4
10,-0.6793093,1311,1307,9,1407,2.2,-0.68800145,4034,925,4
11,-0.65654415,1301,1337,4,1385,1.6000001,-0.6901161,4027,922,4
12,-0.6554392,1167,1321,1,1550,1.6000001,-0.6947505,4039,917,4
13,-0.6300918,1147,1308,4,1576,2.3,-0.6974218,4035,897,4
14,-0.5747472,1009,1295,2,1732,2.3,-0.66879606,4038,846,4
15,-0.55958074,1012,1113,1,1901,2.7999997,-0.67236066,4027,862,4
16,-0.5568519,1030,1122,0,1882,1.6000001,-0.68244874,4034,844,4
17,-0.5332639,1250,1052,0,1726,1.7000002,-0.65638053,4028,813,4
18,-0.50180185,1432,978,2,1628,2.5,-0.6367327,4040,798,5
19,-0.493024,1585,1037,2,1415,3.4,-0.5937127,4039,765,5
20,-0.48046002,1744,983,0,1306,2.7999997,-0.63087076,4033,782,5
21,-0.4365974,1876,784,0,1381,2.7999995,-0.6138094,4041,750,5
22,-0.41868034,1870,795,0,1375,2.2,-0.58826846,4040,737,5
23,-0.40144196,1815,763,0,1455,1.9000001,-0.5972736,4033,711,5
24,-0.38026148,1738,767,0,1536,2.4,-0.5642428,4041,680,5
25,-0.3678826,1667,741,2,1628,2.8000002,-0.573924,4038,671,6
26,-0.34800383,1718,751,1,1562,2.3000002,-0.5742328,4032,671,6
27,-0.3493116,1621,815,3,1605,2.4999995,-0.5564062,4044,669,6
28,-0.32487315,1621,888,1,1517,2.8999996,-0.5340473,4027,621,6
29,-0.33604255,1717,977,0,1341,2.5,-0.5162104,4035,621,6
30,-0.33074337,1802,1131,2,1105,2.6999998,-0.51982826,4040,626,6
31,-0.3048968,1725,1213,2,1105,2.8000002,-0.4666278,4045,591,6
32,-0.31949937,1636,1350,1,1049,2.2,-0.47031948,4036,593,6
33,-0.30425662,1652,1312,1,1088,2.1000001,-0.4654845,4053,580,6
34,-0.28381923,1643,1299,1,1084,2.1999998,-0.43613297,4027,550,7
35,-0.2547465,1635,1307,0,1113,2.6,-0.4278933,4055,524,7
36,-0.23972988,1607,1343,0,1108,2.4999995,-0.37769976,4058,510,7
37,-0.25059342,1606,1326,0,1106,2.5,-0.41302767,4038,516,7
38,-0.22724919,1549,1450,0,1056,3.2999997,-0.3797547,4055,488,8
39,-0.21975353,1476,1615,2,959,2.1000001,-0.33292297,4052,469,8
40,-0.20221202,1414,1741,0,884,3.0999994,-0.32943925,4039,470,8
41,-0.18157771,1401,1784,0,880,3.0,-0.28214088,4065,463,8
42,-0.18715261,1420,1796,2,843,2.9999995,-0.30820066,4061,455,8
