time,loss,left,right,up,down,highest_reward,average_reward,steps,games,step_per_games
0,-1.0407045,1104,895,1242,782,1.7,-0.80002135,4023,1517,2
1,-1.0085542,1228,1242,508,1046,1.7,-0.7773085,4024,1261,3
2,-0.9269815,1245,1070,266,1452,1.6000001,-0.7451509,4033,1153,3
3,-0.8420859,947,904,132,2048,1.5000001,-0.75655955,4031,1093,3
4,-0.6916999,669,643,60,2660,1.5,-0.77274066,4032,1090,3
5,-0.5639013,551,452,38,2983,1.5,-0.7745002,4024,1106,3
6,-0.5683349,582,451,20,2974,1.3000001,-0.7879542,4027,1108,3
7,-0.62439895,763,519,9,2744,1.4000001,-0.77159667,4035,1067,3
8,-0.7261431,971,697,12,2355,1.4000001,-0.76532626,4035,1041,3
9,-0.7473095,1103,824,9,2087,1.4000001,-0.75055766,4023,1008,3
10,-0.7765304,1360,904,8,1754,1.4,-0.75109106,4026,1020,3
11,-0.7343052,1623,847,4,1563,2.4,-0.7233081,4037,991,4
12,-0.734538,1613,898,1,1511,1.5,-0.7291072,4023,979,4
13,-0.71631444,1538,873,3,1617,2.1,-0.7160991,4031,965,4
14,-0.72929496,1457,890,3,1691,2.0,-0.7231864,4041,960,4
15,-0.6910608,1169,845,4,2009,1.7,-0.7258736,4027,922,4
16,-0.6263398,1110,761,0,2161,1.6000001,-0.7024049,4032,920,4
17,-0.6300066,993,752,4,2286,2.5,-0.7159342,4035,937,4
18,-0.6070286,900,728,1,2404,2.4999998,-0.71152914,4033,933,4
19,-0.5712393,981,646,0,2402,1.4000001,-0.71052325,4029,923,4
20,-0.5910555,1152,646,0,2236,1.4000001,-0.7045611,4034,903,4
21,-0.57029366,1117,726,0,2191,1.5000001,-0.68254787,4034,877,4
22,-0.60075253,1177,944,0,1915,2.3,-0.67222404,4036,839,4
23,-0.6005595,1354,1010,0,1683,2.5,-0.6658511,4047,845,4
24,-0.57591414,1432,1097,0,1505,1.8000002,-0.6567923,4034,812,4
25,-0.57704383,1505,1138,1,1386,1.8000001,-0.6474199,4030,813,4
26,-0.5526981,1503,1167,0,1364,1.7000002,-0.6595437,4034,814,4
27,-0.5324596,1468,1134,2,1428,1.8000002,-0.6269352,4032,772,5
28,-0.49588737,1623,813,1,1591,2.4,-0.6302389,4028,774,5
29,-0.47104147,1548,783,0,1711,2.5,-0.6152406,4042,755,5
30,-0.45186433,1455,733,1,1850,2.6000001,-0.62998265,4039,744,5
31,-0.41668546,1474,759,0,1806,1.7000002,-0.6347613,4039,733,5
32,-0.3792561,1540,772,0,1727,2.1,-0.5821004,4039,692,5
33,-0.38596454,1564,886,0,1597,2.1999998,-0.6079078,4047,685,5
34,-0.35507223,1641,938,0,1452,2.7000003,-0.5710503,4031,669,6
35,-0.3202951,1652,964,0,1420,2.6,-0.5573355,4036,635,6
36,-0.34094757,1692,998,0,1352,2.4,-0.5867893,4042,669,6
37,-0.3282465,1706,996,0,1327,1.7,-0.5908173,4029,646,6
38,-0.29676092,1833,929,0,1276,2.8000002,-0.55951107,4038,635,6
39,-0.29132375,1871,899,0,1274,2.6999993,-0.5596207,4044,633,6
40,-0.29128712,1945,787,0,1309,1.7000002,-0.564688,4041,634,6
41,-0.25397077,1998,738,0,1308,3.4999995,-0.5385774,4044,631,6
42,-0.2381976,1968,672,0,1412,2.1999998,-0.55863905,4052,614,6
43,-0.22478816,1851,645,1,1541,1.8000001,-0.5487138,4038,605,6
44,-0.2013755,1875,645,0,1524,2.6000001,-0.54159397,4044,602,6
45,-0.20102195,1761,705,0,1574,1.7,-0.5634912,4040,591,6
46,-0.20229803,1795,686,0,1554,1.8000001,-0.56109154,4035,595,6
47,-0.184262,1809,754,1,1478,1.7000002,-0.51880467,4042,580,6
