time,loss,left,right,up,down,highest_reward,average_reward,steps,games,step_per_games
0,-1.0165095,1119,891,1254,757,1.7,-0.7842295,4021,1460,2
1,-0.7466998,565,1174,47,2247,1.4,-0.75923395,4033,1066,3
2,-0.5866499,705,521,6,2795,1.5000001,-0.76654875,4027,1071,3
3,-0.6922793,1847,543,0,1643,2.3,-0.75375485,4033,1058,3
4,-0.7246514,1578,1297,1,1150,1.6000001,-0.7364365,4026,1059,3
5,-0.6333432,612,1874,1,1544,1.4,-0.72639465,4031,927,4
6,-0.47698572,220,1779,0,2035,1.4000001,-0.7128646,4034,869,4
7,-0.37848043,69,1819,0,2147,1.6000001,-0.7258974,4035,856,4
8,-0.32925445,12,2157,0,1863,1.3000001,-0.7175836,4032,854,4
9,-0.28919113,5,2260,0,1772,1.3000001,-0.721351,4037,855,4
10,-0.2332489,0,2404,0,1626,1.3000001,-0.7181629,4030,849,4
11,-0.20805748,1,2429,0,1602,1.4000001,-0.7314722,4032,846,4
12,-0.22475304,0,2141,0,1893,1.4000001,-0.69995016,4034,832,4
13,-0.22079054,0,2047,0,1978,1.3000001,-0.71299285,4025,841,4
14,-0.17130537,0,2288,0,1749,2.1,-0.7086943,4037,817,4
15,-0.13365543,0,2442,0,1584,1.4000001,-0.69542855,4026,825,4
16,-0.11939827,0,2508,0,1534,1.4000001,-0.7072232,4042,838,4
17,-0.11273923,0,2537,0,1492,1.4000001,-0.7037224,4029,829,4
18,-0.08772256,0,2466,0,1562,1.4000001,-0.6906402,4028,822,4
19,-0.090490475,0,2369,0,1663,2.1999998,-0.7050831,4032,818,4
20,-0.13147333,0,2290,0,1751,1.4,-0.711605,4041,818,4
21,-0.18203416,0,2041,0,1993,1.4,-0.70845294,4034,839,4
22,-0.21251138,0,1739,0,2293,1.3000001,-0.74243414,4032,878,4
23,-0.1895033,0,1891,0,2140,2.1999998,-0.696452,4031,845,4
24,-0.1273129,0,2235,0,1801,1.3000001,-0.70354235,4036,816,4
25,-0.064810544,0,2363,0,1671,1.4000001,-0.70498204,4034,820,4
26,-0.06256499,0,2474,0,1566,1.4000001,-0.69386065,4040,828,4
27,-0.069757946,0,2498,0,1532,1.4000001,-0.69667464,4030,831,4
28,-0.06691482,0,2485,0,1550,1.4000001,-0.713407,4035,842,4
29,-0.05847522,0,2494,0,1542,1.4000001,-0.69804186,4036,833,4
30,-0.05196937,0,2462,0,1571,2.1,-0.7062725,4033,826,4
31,-0.03460302,0,2450,0,1581,1.4000001,-0.6957818,4031,819,4
32,-0.04023335,0,2405,0,1624,1.3000001,-0.70260555,4029,809,4
33,-0.044854604,0,2400,0,1626,2.1,-0.6891947,4026,810,4
34,-0.047607847,0,2361,0,1670,2.2,-0.68910897,4031,800,5
35,-0.07914991,0,2316,0,1718,2.1999998,-0.6988591,4034,809,4
36,-0.06889521,0,2303,0,1735,1.3000001,-0.70455617,4038,811,4
37,-0.080472395,0,2290,0,1737,2.1999998,-0.7056859,4027,802,5
38,-0.08240844,0,2301,0,1724,1.3000001,-0.70335317,4025,806,4
39,-0.07257772,0,2330,0,1700,1.4000001,-0.69545853,4030,815,4
40,-0.07062449,0,2324,0,1705,1.4000001,-0.6998258,4029,814,4
41,-0.064638324,0,2312,0,1717,1.4000001,-0.7052118,4029,815,4
42,-0.05108844,0,2353,0,1678,1.4000001,-0.6918126,4031,813,4
